ID,Name,Age,State,Department,Room Floor,Fees
7576,Khalid Zahra,31,Terengganu,FTKEK,4,RM500
6305,Nasir Zainab,42,Malacca,FPTT,6,RM500
3172,Nik Safiya,43,Selangor,FTMK,8,RM500
1056,Grace Haikal,38,Terengganu,FTMK,5,"RM1,500"
2714,Omar Williams,29,Kedah,FTKEK,6,"RM1,500"
9600,Muhammad Fatimah,44,Malacca,FTMK,5,"RM1,000"
1837,Jacob Huda,23,Kedah,FTMK,4,"RM1,500"
9015,Rashid Asraf,20,Terengganu,FPTT,9,"RM1,500"
1651,Oliver Amina,29,Malacca,FTMK,3,RM500
6171,Hassan Naima,47,Terengganu,FPTT,7,RM500
8702,Hassan Haikal,35,Selangor,FTKEK,6,RM500
9751,James Zahra,20,Malacca,FPTT,3,"RM1,500"
2324,Amelia Amina,37,Terengganu,FPTT,7,RM500
2306,Noah Sabrina,43,Terengganu,FTMK,3,RM500
1736,Muhamad Syerina,38,Selangor,FTKEK,4,RM500
9454,Mustafa Zuraini,37,Malacca,FTKEK,6,"RM1,500"
3276,Ismail Khadijah,34,Kedah,FTMK,3,RM500
7711,Amelia Hall,39,Johor,FPTT,3,RM500
1711,Nasir Smith,39,Malacca,FTMK,1,"RM1,000"
9403,George Singh,25,Selangor,FTKEK,7,RM500
6633,Harry Mastura,25,Kedah,FPTT,2,"RM1,000"
9738,George Munira,33,Terengganu,FTKEK,6,"RM1,000"
5464,George Zuraini,29,Selangor,FTMK,6,"RM1,500"
6223,Jibril Thompson,29,Kedah,FPTT,3,"RM1,500"
9908,Muhammad Singh,24,Malacca,FTMK,3,"RM1,000"
4674,Raja Green,28,Malacca,FTKEK,3,"RM1,000"
1118,Sophie Wilson,22,Terengganu,FTKEK,2,"RM1,000"
7532,Wan Najiah,30,Selangor,FTKEK,9,"RM1,000"
7403,Isabella Munira,44,Johor,FTMK,4,"RM1,000"
5881,Hamza Huda,32,Terengganu,FPTT,8,"RM1,000"
6020,Olivia Fatima,20,Johor,FTMK,1,"RM1,000"
6583,Jibril Munira,24,Terengganu,FPTT,9,"RM1,500"
271,Ali Lubna,40,Kedah,FTKEK,5,RM500
9730,Charlie Syarif,35,Terengganu,FTMK,5,RM500
256,Amelia Safiya,48,Terengganu,FPTT,6,RM500
9555,Sulaiman Edwards,38,Terengganu,FTMK,4,"RM1,000"
1487,Noah Smith,39,Selangor,FPTT,1,"RM1,000"
9773,James Zuraini,46,Malacca,FPTT,8,RM500
9404,Emily Haziq,36,Johor,FTMK,1,RM500
7937,Sophia Sara,33,Selangor,FPTT,2,RM500
2398,Anwar Williams,30,Terengganu,FTKEK,1,RM500
978,Amelia Zahra,27,Selangor,FTMK,7,"RM1,500"
7254,Nordin Zainab,45,Terengganu,FPTT,2,"RM1,000"
9364,Amelia Zainab,37,Malacca,FPTT,7,"RM1,500"
7255,Harry Hana,24,Terengganu,FTKEK,1,RM500
8444,Amelia Mariam,45,Malacca,FTKEK,1,RM500
4300,Alfie Brown,35,Johor,FTMK,6,"RM1,000"
5741,Tengku Yasmin,34,Johor,FTKEK,6,RM500
1276,Mahathir Zahra,45,Malacca,FTMK,4,"RM1,500"
6450,Ismail Jones,39,Johor,FPTT,4,RM500
9489,Anwar Amina,20,Malacca,FTKEK,1,RM500
4931,Amelia Brown,30,Selangor,FTMK,3,RM500
9329,Alfie Mariam,35,Malacca,FTMK,8,RM500
2482,Nordin Zahra,38,Kedah,FPTT,5,"RM1,000"
2157,Abdul Zuraidah,42,Johor,FTMK,6,"RM1,500"
8030,Muhamad Fatima,28,Kedah,FPTT,8,RM500
9491,Olivia Cooper,43,Kedah,FTKEK,3,"RM1,500"
2185,Ismail Syarif,28,Malacca,FTKEK,6,RM500
9379,Anwar Sara,30,Terengganu,FTKEK,8,"RM1,000"
8262,Anwar Nour,22,Selangor,FTKEK,2,"RM1,000"
5641,Kasturi Syerina,44,Johor,FTKEK,9,"RM1,000"
2018,Jack Syarif,47,Selangor,FTKEK,5,"RM1,500"
7534,Anwar Amina,43,Terengganu,FTMK,2,"RM1,000"
2753,Mia Davies,19,Selangor,FTKEK,7,"RM1,500"
9682,Amelia Hana,39,Malacca,FTMK,8,"RM1,500"
457,Musa Wilson,40,Selangor,FTMK,2,"RM1,000"
6776,Jack Hana,19,Johor,FPTT,2,RM500
4430,Harry Nour,44,Terengganu,FPTT,8,RM500
6977,Muhamad Walker,40,Selangor,FTMK,1,"RM1,500"
6347,Nasir Safiya,39,Malacca,FPTT,6,RM500
3568,Freddie Syerina,34,Selangor,FTMK,5,"RM1,500"
1290,George Zuraini,26,Selangor,FTKEK,7,RM500
437,Ibrahim Yasmin,21,Kedah,FTMK,8,"RM1,000"
1333,Jack Mastura,28,Malacca,FPTT,7,"RM1,500"
4048,Hamza Murphy,21,Kedah,FPTT,5,"RM1,000"
7896,Hassan Zainab,21,Kedah,FTKEK,5,RM500
3787,Tariq Khadijah,37,Selangor,FTKEK,6,"RM1,500"
2000,Sophia Khairul,28,Selangor,FPTT,2,RM500
3697,Poppy Khadijah,40,Malacca,FPTT,3,RM500
2090,Harry Lubna,20,Kedah,FTKEK,4,RM500
1921,Muhammad Amina,30,Selangor,FPTT,2,"RM1,000"
1528,Emily Fatima,47,Terengganu,FTMK,5,RM500
3820,Sulaiman Naima,38,Malacca,FTMK,1,"RM1,500"
3313,Mustafa Ahnaf,20,Kedah,FTKEK,1,"RM1,500"
5810,Alfie Wilson,42,Johor,FTKEK,5,RM500
5905,Grace Walker,20,Selangor,FPTT,1,"RM1,000"
6604,Emily Wilson,30,Selangor,FTMK,2,RM500
1106,Tengku Najiah,23,Kedah,FPTT,7,"RM1,500"
5992,Amsyar Sara,27,Terengganu,FTMK,5,RM500
4672,Jibril Azlan,41,Selangor,FPTT,8,RM500
5416,Hassan Mariam,27,Kedah,FPTT,1,"RM1,000"
8118,Kasturi Munira,34,Kedah,FPTT,5,"RM1,500"
3614,Amelia Huda,37,Kedah,FTKEK,8,RM500
9638,Ava Haziq,29,Selangor,FPTT,6,"RM1,000"
9333,Rashid Amina,22,Kedah,FPTT,8,"RM1,000"
6762,George Robinson,36,Kedah,FTMK,2,RM500
4180,Amelia Fatima,19,Malacca,FTKEK,8,"RM1,000"
6832,Muhamad Azlan,22,Kedah,FPTT,9,RM500
3963,Ibrahim Taylor,34,Johor,FTMK,8,RM500
8288,Grace Davies,48,Johor,FTMK,3,RM500
5979,Zayd Patel,29,Terengganu,FTKEK,1,RM500
8650,Abdullah Khadijah,26,Johor,FTMK,1,"RM1,000"
3822,Anwar Mariam,45,Terengganu,FTMK,2,"RM1,000"
8897,Nasir White,29,Selangor,FTKEK,7,"RM1,500"
5840,Hamza Brown,27,Terengganu,FPTT,4,"RM1,000"
8070,Ahmed Jones,42,Johor,FTKEK,9,"RM1,500"
535,Ali Mastura,40,Johor,FPTT,3,"RM1,500"
5123,Omar Zuraini,24,Kedah,FPTT,8,"RM1,500"
9005,Sophie Aisha,22,Johor,FTMK,6,"RM1,500"
1355,Nik Thompson,20,Kedah,FPTT,2,"RM1,500"
9165,James Layla,25,Selangor,FTMK,3,"RM1,500"
1755,Sophie Edwards,42,Malacca,FTMK,6,"RM1,500"
7791,Grace Haikal,20,Terengganu,FPTT,2,RM500
3165,George Taylor,46,Terengganu,FTMK,3,RM500
9520,Freddie Haikal,41,Terengganu,FTKEK,6,"RM1,000"
2687,Emily Patel,45,Terengganu,FTKEK,9,"RM1,000"
5293,Olivia Fatima,43,Malacca,FTMK,3,RM500
2455,Adam Yasmin,24,Malacca,FTMK,9,"RM1,500"
5679,Ibrahim Walker,32,Malacca,FTKEK,3,"RM1,500"
2754,Sophia Evans,22,Selangor,FPTT,5,"RM1,000"
473,George Evans,42,Johor,FTMK,5,RM500
7712,Sulaiman Thompson,36,Johor,FTMK,7,"RM1,500"
9535,George Cooper,48,Johor,FPTT,5,"RM1,000"
2321,Zayd Cooper,24,Selangor,FPTT,3,"RM1,000"
9316,Abdullah Masyitah,29,Malacca,FTKEK,3,"RM1,500"
8428,Jack Taylor,26,Selangor,FTMK,1,RM500
1175,Mustafa Walker,39,Selangor,FTMK,2,"RM1,500"
6037,Amsyar Davies,21,Kedah,FTMK,2,"RM1,000"
4543,George Hall,39,Malacca,FTMK,6,"RM1,500"
2418,Sophia Walker,22,Malacca,FTMK,8,"RM1,000"
3486,Tengku Wright,22,Terengganu,FTKEK,9,"RM1,500"
3194,Muhammad Fatima,44,Terengganu,FTKEK,4,"RM1,000"
8273,Grace Wilson,40,Selangor,FPTT,7,"RM1,000"
2969,Tariq Layla,37,Johor,FTMK,6,"RM1,500"
8466,Nasir Fatima,28,Johor,FPTT,9,"RM1,500"
3152,Poppy Liyana,44,Selangor,FTMK,9,"RM1,000"
2048,Harry Zahra,28,Selangor,FPTT,3,RM500
4224,Abdul Khairul,41,Malacca,FTKEK,8,RM500
9708,Jacob White,38,Kedah,FTKEK,6,"RM1,500"
8198,Mahathir Singh,36,Johor,FTKEK,1,"RM1,000"
4789,Harry Brown,42,Kedah,FPTT,8,"RM1,500"
3935,Muhammad Khairul,29,Malacca,FPTT,5,"RM1,000"
5594,Nik Sabrina,24,Terengganu,FPTT,9,RM500
9322,Yusuf Mariam,29,Selangor,FTKEK,9,RM500
5151,Isla Zuhairy,47,Terengganu,FTMK,1,"RM1,500"
3650,Kasturi Davies,36,Malacca,FTMK,8,RM500
7920,Nik Fatimah,40,Malacca,FTMK,5,"RM1,500"
7965,James Mastura,39,Selangor,FTMK,2,RM500
3230,Omar Khairul,23,Kedah,FPTT,4,"RM1,000"
9348,Jack Layla,27,Johor,FTKEK,2,RM500
6980,Amelia Fatimah,36,Johor,FPTT,4,"RM1,000"
9108,Jack Wright,36,Malacca,FPTT,2,"RM1,500"
1079,Abdullah Jones,43,Selangor,FTKEK,9,RM500
6610,Musa Zuraidah,26,Terengganu,FTMK,6,"RM1,500"
4630,Grace Zainab,47,Kedah,FTKEK,5,"RM1,500"
7408,Jibril Williams,22,Selangor,FTMK,8,RM500
9963,George Walker,48,Selangor,FPTT,3,"RM1,500"
7518,Isla Liyana,37,Terengganu,FTMK,5,RM500
1229,Olivia Azlan,41,Selangor,FPTT,2,RM500
5964,Muhammad Lubna,43,Selangor,FPTT,1,"RM1,000"
4859,Muhamad Haikal,41,Kedah,FTMK,6,"RM1,500"
7565,Sophia Sara,28,Malacca,FTKEK,1,RM500
4352,Amelia Sabrina,26,Terengganu,FPTT,1,"RM1,500"
27,Olivia Wilson,20,Kedah,FTMK,6,"RM1,500"
3705,Musa Ahnaf,26,Johor,FTKEK,1,"RM1,500"
1761,Idris Mastura,39,Terengganu,FPTT,2,"RM1,500"
3303,Yusuf Fatima,23,Malacca,FTMK,4,"RM1,000"
73,Olivia Jones,29,Terengganu,FPTT,5,"RM1,000"
3116,Amelia Cooper,48,Kedah,FTMK,7,"RM1,000"
720,Ismail Mariam,36,Kedah,FTKEK,6,"RM1,000"
9073,Abdul Edwards,41,Terengganu,FTMK,8,"RM1,500"
5071,Charlie Farida,39,Terengganu,FPTT,9,"RM1,500"
3204,Ibrahim Davies,34,Malacca,FPTT,2,"RM1,000"
7126,Poppy Walker,40,Johor,FTMK,2,"RM1,000"
8651,Ismail Layla,40,Terengganu,FTMK,4,"RM1,000"
4570,Amsyar Johnson,37,Kedah,FTKEK,7,RM500
6163,Abdul Davies,43,Kedah,FPTT,6,RM500
9866,Sophia Khadijah,25,Johor,FPTT,6,RM500
9819,Kasturi Wright,24,Malacca,FPTT,1,RM500
8265,Mia Wilson,48,Kedah,FTKEK,1,"RM1,500"
7083,Ismail Robinson,23,Terengganu,FTKEK,6,"RM1,500"
3545,Noah Cooper,38,Terengganu,FTKEK,3,"RM1,000"
9521,Ava Singh,24,Kedah,FTKEK,6,"RM1,000"
2035,Alfie Amina,31,Johor,FTKEK,5,RM500
3317,Tariq Taylor,19,Johor,FTKEK,7,"RM1,500"
8583,Mahathir Syarif,19,Terengganu,FTKEK,1,"RM1,000"
6642,Tariq Azlan,22,Kedah,FTKEK,9,"RM1,000"
6792,James Murphy,45,Terengganu,FPTT,9,"RM1,500"
1909,Mustafa Walker,25,Selangor,FPTT,8,"RM1,000"
8359,James Nour,45,Kedah,FPTT,8,"RM1,500"
9779,Isabella Lubna,38,Selangor,FTKEK,2,"RM1,000"
7797,Muhammad Munira,42,Terengganu,FPTT,8,RM500
1917,Harry Khairul,48,Malacca,FTMK,8,"RM1,500"
2347,Amsyar Zuraini,35,Selangor,FPTT,3,RM500
5823,Freddie Zainab,24,Malacca,FTKEK,1,"RM1,000"
7350,Olivia Zahra,34,Malacca,FPTT,7,"RM1,000"
1451,George Sabrina,32,Selangor,FPTT,4,"RM1,500"
432,Adam Thompson,48,Terengganu,FTMK,2,"RM1,000"
6629,Idris Mariam,27,Johor,FPTT,4,RM500
1328,Adam Jones,29,Selangor,FTMK,8,RM500
8399,Hassan Ahnaf,30,Terengganu,FTMK,3,"RM1,500"
4301,Harry Naima,37,Kedah,FTMK,5,"RM1,000"
3661,James Davies,24,Kedah,FTMK,4,"RM1,500"
2522,Khalid Murphy,35,Terengganu,FTMK,2,"RM1,500"
8381,Tengku Lewis,22,Kedah,FTKEK,1,"RM1,000"
9242,Nordin Zahra,47,Johor,FTKEK,6,"RM1,000"
4640,Amelia Azlan,42,Selangor,FTMK,4,"RM1,500"
4987,Jack Zuraini,38,Kedah,FTKEK,5,"RM1,500"
6202,Mia Patel,33,Johor,FTMK,4,"RM1,500"
5549,Raja Jones,40,Malacca,FPTT,5,"RM1,500"
4020,Sulaiman Hana,23,Kedah,FTKEK,2,"RM1,500"
6805,Alfie Safiya,26,Terengganu,FPTT,8,"RM1,500"
4873,Olivia Zuraidah,41,Malacca,FTMK,8,"RM1,500"
5921,Emily Khairul,35,Terengganu,FPTT,6,RM500
3344,Adam Naima,29,Malacca,FTKEK,2,RM500
3433,Idris Amina,22,Selangor,FTKEK,7,"RM1,500"
6060,Sophia Khadijah,34,Selangor,FPTT,5,"RM1,000"
1187,Ahmed Mariam,25,Terengganu,FTKEK,4,"RM1,000"
6927,Harry Najiah,48,Selangor,FTMK,3,"RM1,000"
406,Oliver Khairul,26,Selangor,FPTT,4,"RM1,500"
4472,Noah Zuraini,39,Selangor,FTKEK,6,RM500
576,Nordin Safiya,19,Selangor,FPTT,5,"RM1,000"
2208,Jack Jones,24,Kedah,FTMK,2,"RM1,000"
7044,Hassan Edwards,48,Terengganu,FTMK,2,"RM1,500"
3728,Hamza Farida,45,Selangor,FTKEK,5,"RM1,500"
7695,Nordin Hall,39,Malacca,FPTT,5,"RM1,500"
1469,Jacob Khairul,46,Malacca,FPTT,8,"RM1,500"
4241,Isla Fatimah,35,Malacca,FTMK,8,RM500
3711,Jack Ahnaf,40,Terengganu,FPTT,5,RM500
4729,Adam Hana,29,Selangor,FTMK,1,RM500
9152,Isla Haziq,46,Johor,FTMK,8,"RM1,000"
3692,Bilal Syerina,20,Terengganu,FPTT,5,"RM1,500"
6884,Nasir Farida,33,Kedah,FTMK,8,"RM1,000"
5433,Jacob Zainab,31,Terengganu,FPTT,4,"RM1,500"
2542,Idris Zuraidah,47,Johor,FTKEK,7,RM500
7221,Isla Nour,33,Terengganu,FTKEK,5,"RM1,500"
2915,Muhammad Brown,25,Malacca,FPTT,7,"RM1,500"
8644,Omar Singh,19,Malacca,FPTT,7,"RM1,500"
6738,Olivia Mastura,31,Selangor,FTMK,7,"RM1,000"
4103,Abdullah Brown,24,Selangor,FTKEK,2,"RM1,500"
6537,Zayd Yasmin,44,Malacca,FPTT,6,"RM1,000"
506,Noah Edwards,32,Kedah,FPTT,8,"RM1,000"
1627,Abdul Cooper,19,Malacca,FPTT,3,"RM1,000"
3673,Oscar Cooper,24,Terengganu,FTKEK,2,RM500
4673,Poppy Haziq,41,Terengganu,FPTT,4,RM500
2966,Sophia Naima,24,Selangor,FTMK,8,"RM1,500"
8527,Kasturi Farida,45,Selangor,FTMK,6,"RM1,500"
2946,Ibrahim Hana,33,Malacca,FTMK,2,"RM1,500"
5505,Adam Jones,19,Johor,FTMK,6,"RM1,000"
7276,Harry Fatima,25,Johor,FTMK,9,RM500
6656,Emily Thompson,45,Malacca,FTMK,3,RM500
1776,Adam Patel,19,Selangor,FTKEK,3,RM500
8883,Musa Safiya,40,Terengganu,FTMK,9,RM500
2449,Amsyar Aisha,40,Terengganu,FPTT,4,RM500
5257,Harry Liyana,48,Kedah,FTKEK,5,RM500
3145,Anwar Masyitah,21,Selangor,FTMK,6,RM500
9022,Olivia Zahra,22,Kedah,FTMK,8,"RM1,500"
9482,Mia Naima,23,Kedah,FTKEK,3,"RM1,000"
3581,Olivia Williams,34,Selangor,FTKEK,6,"RM1,000"
5020,Ibrahim Haziq,45,Malacca,FPTT,1,"RM1,500"
3325,Oliver Syerina,43,Johor,FPTT,1,"RM1,500"
6806,Grace Walker,37,Kedah,FPTT,4,"RM1,000"
7905,Ismail Nour,34,Terengganu,FPTT,5,"RM1,000"
8250,Harry Wilson,21,Selangor,FTMK,8,"RM1,500"
9181,Grace Farida,19,Kedah,FTMK,9,RM500
3544,Kasturi Walker,29,Kedah,FTKEK,4,"RM1,500"
8669,Grace Davies,42,Terengganu,FTMK,1,"RM1,000"
1975,Grace Johnson,23,Malacca,FTKEK,1,RM500
8988,Hamza Smith,34,Selangor,FTKEK,3,RM500
1110,Isla Walker,41,Terengganu,FTMK,6,RM500
1025,Mahathir Fatima,27,Kedah,FPTT,2,"RM1,500"
6137,Tariq Lubna,47,Selangor,FTKEK,4,"RM1,000"
8784,Isla Hall,47,Kedah,FTKEK,3,"RM1,500"
630,Khalid Williams,21,Kedah,FPTT,3,RM500
3749,Freddie Evans,22,Malacca,FTMK,3,"RM1,000"
1902,Sulaiman Cooper,28,Selangor,FPTT,6,"RM1,500"
3236,Anwar Azlan,30,Terengganu,FTKEK,7,"RM1,000"
9115,Sophia Johnson,46,Malacca,FTKEK,1,"RM1,500"
8783,Tariq Sabrina,32,Malacca,FPTT,3,"RM1,500"
4124,Freddie Naima,47,Malacca,FTKEK,3,"RM1,500"
4893,Bilal Hana,43,Johor,FTKEK,3,"RM1,500"
4836,Yusuf Yasmin,45,Johor,FTKEK,7,"RM1,000"
4444,Ava Green,36,Malacca,FTMK,6,"RM1,500"
3189,George Asraf,21,Malacca,FPTT,5,"RM1,500"
2519,Idris Masyitah,46,Selangor,FTMK,1,"RM1,500"
7658,Yusuf Taylor,34,Malacca,FPTT,5,RM500
6110,Ali Patel,40,Selangor,FTMK,3,"RM1,000"
922,Amsyar Asraf,31,Malacca,FTMK,8,"RM1,000"
3177,Yusuf Williams,39,Selangor,FPTT,7,"RM1,000"
8435,Ali Hall,43,Terengganu,FTKEK,6,"RM1,500"
